u+002b,+,plus
u+005b,[,lsquare
u+005c,\,backslash
u+005d,],rsquare
u+007c,|,pipe
u+00b2,²,super2
u+00b3,³,super3
u+00b9,¹,super1
u+00c7,Ç,capital_c_cedilla
u+00d8,Ø,capital_o_slash
u+00df,ß,eszett
u+00e6,æ,ash
u+00e7,ç,c_cedilla
u+00f0,ð,eth
u+00f8,ø,o_slash
u+00fe,þ,thorn
u+011e,Ğ,capital_yumusak_g
u+011f,ğ,yumusak_g
u+0127,ħ,h_bar
u+0130,İ,capital_i_dot
u+0131,ı,i_dotless
u+014b,ŋ,engma
u+0153,œ,ethel
u+015e,Ş,capital_s_cedilla
u+015f,ş,s_cedilla
u+0188,ƈ,c_toprighthook
u+0199,ƙ,k_toprighthook
u+01a5,ƥ,p_toprighthook
u+01ad,ƭ,t_toprighthook
u+01c0,ǀ,click_single_pipe
u+01c1,ǁ,click_double_pipe
u+01c2,ǂ,click_cross
u+01c3,ǃ,ipa_excl
u+0221,ȡ,d_curl
u+0234,ȴ,l_curl
u+0235,ȵ,n_curl
u+0236,ȶ,t_curl
u+0250,ɐ,turned_a
u+0251,ɑ,latin_alpha
u+0252,ɒ,turned_alpha
u+0253,ɓ,b_toprighthook
u+0254,ɔ,open_o
u+0255,ɕ,curly_c
u+0256,ɖ,d_retro
u+0257,ɗ,d_toprighthook
u+0258,ɘ,backwards_e
u+0259,ə,schwa
u+025b,ɛ,epsilon
u+025c,ɜ,three_vowel
u+025e,ɞ,closed_three_vowel
u+025f,ɟ,j_stroke
u+0260,ɠ,g_toprighthook
u+0261,ɡ,singlestory_g
u+0262,ɢ,smallcap_g
u+0263,ɣ,gamma
u+0264,ɤ,rams_horn
u+0265,ɥ,turned_h
u+0266,ɦ,h_toprighthook
u+0267,ɧ,sj
u+0268,ɨ,i_bar
u+026a,ɪ,smallcap_i
u+026b,ɫ,l_tilde
u+026c,ɬ,l_belt
u+026d,ɭ,l_retro
u+026e,ɮ,lezh
u+026f,ɯ,turned_m
u+0270,ɰ,velapp
u+0271,ɱ,meng
u+0272,ɲ,palatal_n
u+0273,ɳ,n_retro
u+0274,ɴ,smallcap_n
u+0275,ɵ,bardos
u+0276,ɶ,smallcap_ethel
u+0277,ɷ,closed_omega
u+0278,ɸ,phi
u+0279,ɹ,turned_r
u+027a,ɺ,latflap
u+027b,ɻ,turned_r_retro
u+027d,ɽ,r_retro
u+027e,ɾ,fishhook
u+027f,ɿ,backwards_fishhook
u+0280,ʀ,smallcap_r
u+0281,ʁ,flipped_smallcap_r
u+0282,ʂ,s_retro
u+0283,ʃ,esh
u+0284,ʄ,j_stroke_toprighthook
u+0285,ʅ,squat_reversed_esh
u+0287,ʇ,turned_t
u+0288,ʈ,t_retro
u+0289,ʉ,u_bar
u+028a,ʊ,upsilon
u+028b,ʋ,labiodental_app
u+028c,ʌ,turned_v
u+028d,ʍ,turned_w
u+028e,ʎ,turned_y
u+028f,ʏ,smallcap_y
u+0290,ʐ,z_retro
u+0291,ʑ,curly_z
u+0292,ʒ,ezh
u+0294,ʔ,glottal_stop
u+0295,ʕ,pharyngeal_app
u+0298,ʘ,bilabial_click
u+0299,ʙ,smallcap_b
u+029a,ʚ,closed_epsilon
u+029b,ʛ,smallcap_g_toprighthook
u+029c,ʜ,smallcap_h
u+029d,ʝ,curly_j
u+029f,ʟ,smallcap_l
u+02a0,ʠ,q_toprighthook
u+02a1,ʡ,epiglottal_stop
u+02a2,ʢ,epiglottal_app
u+02ae,ʮ,turned_h_fishhook
u+02af,ʯ,turned_h_fishhook_tail
u+02b0,ʰ,super_h
u+02b1,ʱ,super_h_toprighthook
u+02b2,ʲ,super_j
u+02b3,ʳ,super_r
u+02b4,ʴ,super_turned_r
u+02b5,ʵ,super_turned_r_retro
u+02b6,ʶ,super_flipped_smallcap_r
u+02b7,ʷ,super_w
u+02b8,ʸ,super_y
u+02bb,ʻ,quote_6
u+02bc,ʼ,quote_9
u+02bd,ʽ,quote_e
u+02c0,ˀ,super_glottal
u+02c8,ˈ,primary_stress
u+02cc,ˌ,secondary_stress
u+02d0,ː,ipa_colon
u+02d1,ˑ,half_long
u+02de,˞,rhotic
u+02e0,ˠ,super_gamma
u+02e1,ˡ,super_l
u+02e2,ˢ,super_s
u+02e3,ˣ,super_x
u+02e4,ˤ,super_pharyngeal
u+02e5,˥,tone_letter_4
u+02e6,˦,tone_letter_3
u+02e7,˧,tone_letter_2
u+02e8,˨,tone_letter_1
u+02e9,˩,tone_letter_0
u+0300,̀,grave
u+0301,́,acute
u+0302,̂,circumflex
u+0303,̃,tilde
u+0304,̄,macron
u+0306,̆,breve
u+0307,̇,dot
u+0308,̈,umlaut
u+030a,̊,ring
u+030b,̋,double_acute
u+030c,̌,caron
u+030d,̍,vertical_stroke_above
u+030f,̏,double_grave
u+0310,̐,candrabindu
u+0318,̘,left_tack_below
u+0319,̙,right_tack_below
u+031a,̚,unreleased
u+031c,̜,left_half_ring_below
u+031d,̝,up_tack_below
u+031e,̞,down_tack_below
u+031f,̟,plus_below
u+0320,̠,minus_below
u+0323,̣,dot_below
u+0324,̤,umlaut_below
u+0325,̥,ring_below
u+0327,̧,cedilla
u+0329,̩,vertical_stroke_below
u+032a,̪,bridge_below
u+032c,̬,caron_below
u+032f,̯,inverted_breve_below
u+0330,̰,tilde_below
u+0331,̱,macron_below
u+0339,̹,right_half_ring_below
u+033a,̺,inverted_bridge_below
u+033b,̻,square_below
u+033c,̼,seagull_below
u+033d,̽,x_above
u+0348,͈,double_vertical_stroke_below
u+034f,͏,cgj
u+035c,͜,tie_below
u+0361,͡,tie_above
u+03b1,α,greek_alpha
u+03b2,β,beta
u+03b8,θ,theta
u+03bc,μ,mu
u+03c3,σ,sigma
u+03c7,χ,chi
u+0452,ђ,cyrillic_dje
u+1d00,ᴀ,smallcap_a
u+1d02,ᴂ,turned_ash
u+1d07,ᴇ,smallcap_e
u+1d43,ᵃ,super_a
u+1d44,ᵄ,super_turned_a
u+1d45,ᵅ,super_latin_alpha
u+1d46,ᵆ,super_turned_ash
u+1d47,ᵇ,super_b
u+1d48,ᵈ,super_d
u+1d49,ᵉ,super_e
u+1d4a,ᵊ,super_schwa
u+1d4b,ᵋ,super_epsilon
u+1d4d,ᵍ,super_g
u+1d4f,ᵏ,super_k
u+1d50,ᵐ,super_m
u+1d51,ᵑ,super_engma
u+1d52,ᵒ,super_o
u+1d53,ᵓ,super_open_o
u+1d56,ᵖ,super_p
u+1d57,ᵗ,super_t
u+1d58,ᵘ,super_u
u+1d5a,ᵚ,super_turned_m
u+1d5b,ᵛ,super_v
u+1d5d,ᵝ,super_beta
u+1d6c,ᵬ,b_tilde
u+1d6d,ᵭ,d_tilde
u+1d6e,ᵮ,f_tilde
u+1d6f,ᵯ,m_tilde
u+1d70,ᵰ,n_tilde
u+1d71,ᵱ,p_tilde
u+1d72,ᵲ,r_tilde
u+1d73,ᵳ,fishhook_tilde
u+1d74,ᵴ,s_tilde
u+1d75,ᵵ,t_tilde
u+1d76,ᵶ,z_tilde
u+1d7b,ᵻ,smallcap_i_bar
u+1d7c,ᵼ,iota_bar
u+1d7e,ᵾ,smallcap_u_bar
u+1d80,ᶀ,b_palhook
u+1d81,ᶁ,d_palhook
u+1d82,ᶂ,f_palhook
u+1d83,ᶃ,g_palhook
u+1d84,ᶄ,k_palhook
u+1d85,ᶅ,l_palhook
u+1d86,ᶆ,m_palhook
u+1d87,ᶇ,n_palhook
u+1d88,ᶈ,p_palhook
u+1d89,ᶉ,r_palhook
u+1d8a,ᶊ,s_palhook
u+1d8b,ᶋ,esh_palhook
u+1d8c,ᶌ,v_palhook
u+1d8d,ᶍ,x_palhook
u+1d8e,ᶎ,z_palhook
u+1d8f,ᶏ,a_retro
u+1d90,ᶐ,alpha_retro
u+1d91,ᶑ,d_toprighthook_retro
u+1d92,ᶒ,e_retro
u+1d93,ᶓ,epsilon_retro
u+1d94,ᶔ,three_vowel_retro
u+1d95,ᶕ,schwa_retro
u+1d96,ᶖ,i_retro
u+1d97,ᶗ,open_o_retro
u+1d98,ᶘ,esh_retro
u+1d99,ᶙ,u_retro
u+1d9a,ᶚ,ezh_retro
u+1d9b,ᶛ,super_turned_alpha
u+1d9c,ᶜ,super_c
u+1d9d,ᶝ,super_curly_c
u+1d9e,ᶞ,super_eth
u+1d9f,ᶟ,super_three_vowel
u+1da0,ᶠ,super_f
u+1da1,ᶡ,super_j_stroke
u+1da2,ᶢ,super_single_story_g
u+1da3,ᶣ,super_turned_h
u+1da4,ᶤ,super_i_bar
u+1da6,ᶦ,super_smallcap_i
u+1da8,ᶨ,super_curly_j
u+1da9,ᶩ,super_l_retro
u+1dab,ᶫ,super_smallcap_l
u+1dac,ᶬ,super_meng
u+1dad,ᶭ,super_velapp
u+1dae,ᶮ,super_palatal_n
u+1daf,ᶯ,super_n_retro
u+1db0,ᶰ,super_smallcap_n
u+1db1,ᶱ,super_bardos
u+1db2,ᶲ,super_phi
u+1db3,ᶳ,super_s_retro
u+1db4,ᶴ,super_esh
u+1db6,ᶶ,super_u_bar
u+1db7,ᶷ,super_upsilon
u+1db9,ᶹ,super_labiodental_app
u+1dba,ᶺ,super_turned_v
u+1dbb,ᶻ,super_z
u+1dbc,ᶼ,super_z_retro
u+1dbd,ᶽ,super_curly_z
u+1dbe,ᶾ,super_ezh
u+1dbf,ᶿ,super_theta
u+1dc2,᷂,snake_below
u+1dc4,᷄,tone_mh
u+1dc5,᷅,tone_lm
u+1dc6,᷆,tone_ml
u+1dc7,᷇,tone_hm
u+1dc8,᷈,tone_lhl
u+1dc9,᷉,tone_hlh
u+2016,‖,double_vertical_line
u+203f,‿,tie_below_2
u+2070,⁰,super_0
u+2071,ⁱ,super_i
u+2074,⁴,super_4
u+2075,⁵,super_5
u+2076,⁶,super_6
u+2077,⁷,super_7
u+2078,⁸,super_8
u+2079,⁹,super_9
u+207a,⁺,super_plus
u+207b,⁻,super_minus
u+207c,⁼,super_equals
u+207d,⁽,super_lparen
u+207e,⁾,super_rparen
u+207f,ⁿ,super_n
u+2192,→,rightarrow
u+2197,↗,uprightarrow
u+2198,↘,downrightarrow
u+2205,∅,emptyset
u+25cc,◌,dotted_circle
u+2c71,ⱱ,v_righthook
u+2c73,ⱳ,w_righthook
u+a712,꜒,left_tone_4
u+a713,꜓,left_tone_3
u+a714,꜔,left_tone_2
u+a715,꜕,left_tone_1
u+a716,꜖,left_tone_0
u+a71b,ꜛ,super_uparrow
u+a71c,ꜜ,super_downarrow
u+a71d,ꜝ,super_excl
u+a71e,ꜞ,super_turned_excl
u+a71f,ꜟ,sub_turned_excl
u+a7f9,ꟹ,super_ethel
u+f1a1,,super_ash_white
u+f1a3,,super_backwards_e_white
u+f1a4,,super_closed_three_white
u+f1ab,,super_o_slash_white
u+f1ae,,super_smallcap_ethel_white
u+f1b4,,super_smallcap_y_white
u+f1b5,,super_rams_horn_white
u+f1bc,,super_h_bar_white
u+f1ce,,super_turned_y_white
u+f1f1,,unknown_f1f1
u+f1f2,,unknown_f1f2
u+f1f3,,unknown_f1f3
u+f1f4,,unknown_f1f4
u+f1f5,,unknown_f1f5
u+f1f6,,unknown_f1f6
u+f1f7,,unknown_f1f7
u+f1f8,,unknown_f1f8
u+f1f9,,unknown_f1f9
